CourierID,CusomerID,Weight(kgs),Source,Destination,Description,Price,Date,Status,slat,slong,dlat,dlong
1,163,50,Chennai,Bangalore,Valuables,100,16-01-2008,1,13.0827,80.2707,12.9716,77.5946
2,11,22,Coimbatore,Telangana,Parcels,50,16-06-2011,0,11.0168,76.9558,18.1124,79.0193
3,539,58,Delhi,Palakad,Fragile Items,1500,04-07-2010,1,28.7041,77.1025,10.7867,76.6548
4,986,57,Mumbai,Ooty,Fragile Items,1500,26-07-2006,1,19.076,72.8777,11.4064,76.6932
5,188,93,Sivakasi,Bhopal,Oversized Items,2500,01-07-2006,0,9.4524,77.8003,23.2599,77.4126
6,444,64,Kochi,Patna,Fragile Items,1500,30-11-2013,0,9.9312,76.2673,25.5941,85.1376
7,438,96,Ooty,Madurai,Oversized Items,2500,21-03-2014,1,11.4064,76.6932,9.9252,78.1198
8,467,69,Palakad,Trichy,Fragile Items,1500,14-04-2007,1,10.7867,76.6548,10.7905,78.7047
9,82,22,Telangana,Hydreabad,Parcels,50,29-01-2010,1,18.1124,79.0193,17.385,78.4867
10,880,34,Bangalore,Guntur,Valuables,100,24-10-2011,0,12.9716,77.5946,16.2915,80.4542
11,279,90,Gujarat,Salem,Oversized Items,2500,17-12-2016,0,22.2587,71.1924,11.6643,78.146
12,112,10,Pune,Chennai,Personal Belongings,50,02-09-2014,1,18.5204,73.8567,13.0827,80.2707
13,945,55,Ahmedabad,Coonoor,Fragile Items,1500,17-05-2013,1,23.0225,72.5714,11.353,76.7952
14,710,85,Surat,Bhubaneshwar,Oversized Items,2500,31-10-2010,0,21.1702,72.8311,20.2961,85.8245
15,312,58,Dindigul,Chandigarh,Fragile Items,1500,28-11-2005,1,10.3689,77.9803,30.7333,76.7794
16,215,68,Kolkata,Jodhpur,Fragile Items,1500,03-06-2018,0,22.5726,88.3639,26.2389,73.0243
17,997,26,Kanpur,Vijayawada,Parcels,50,29-06-2015,1,26.4499,80.3319,16.5062,80.648
18,991,3,Visakhapatnam,Telangana,Perishable goods,50,21-02-2016,1,17.6868,83.2185,18.1124,79.0193
19,289,11,Bhopal,Bangalore,Medicines or Medical Equipments,50,14-05-2007,0,23.2599,77.4126,12.9716,77.5946
20,547,10,Patna,Gujarat,Personal Belongings,50,18-06-2016,0,25.5941,85.1376,22.2587,71.1924
21,3,15,Madurai,Pune,Medicines or Medical Equipments,50,29-07-2007,0,9.9252,78.1198,18.5204,73.8567
22,953,72,Trichy,Ahmedabad,Oversized Items,2500,06-01-2017,0,10.7905,78.7047,23.0225,72.5714
23,719,9,Hydreabad,Surat,Personal Belongings,50,30-11-2007,0,17.385,78.4867,21.1702,72.8311
24,911,42,Guntur,Kanyakumari,Valuables,100,11-01-2008,1,16.2915,80.4542,8.0883,77.5385
25,590,20,Salem,Coonoor,Hazardous materials,50,28-04-2010,1,11.6643,78.146,11.353,76.7952
26,832,20,Kanyakumari,Gujarat,Hazardous materials,50,20-06-2008,0,8.0883,77.5385,22.2587,71.1924
27,724,25,Coonoor,Pune,Parcels,50,05-10-2013,1,11.353,76.7952,18.5204,73.8567
28,661,84,Bhubaneshwar,Ahmedabad,Oversized Items,2500,29-05-2017,0,20.2961,85.8245,23.0225,72.5714
29,424,9,Chandigarh,Surat,Personal Belongings,50,17-01-2010,1,30.7333,76.7794,21.1702,72.8311
30,391,17,Jodhpur,Chandigarh,Hazardous materials,50,07-08-2021,1,26.2389,73.0243,30.7333,76.7794
31,722,77,Vijayawada,Coimbatore,Oversized Items,2500,29-08-2008,0,16.5062,80.648,11.0168,76.9558
32,272,53,Trivandrum,Delhi,Fragile Items,1500,14-10-2005,0,8.5241,76.9366,28.7041,77.1025
33,716,98,Nagapattinam,Mumbai,Oversized Items,2500,22-10-2019,0,10.7662,79.8422,19.076,72.8777
34,70,98,Erankulam,Sivakasi,Oversized Items,2500,21-09-2010,1,9.97,76.28,9.4524,77.8003
35,39,44,Thanjavur,Chennai,Valuables,100,08-06-2008,0,10.7864,79.1378,13.0827,80.2707
36,268,18,Tuticorin,Ahmedabad,Hazardous materials,50,24-10-2012,0,8.7642,78.1348,23.0225,72.5714
37,166,48,Palakad,Surat,Valuables,100,10-09-2014,0,10.7867,76.6548,21.1702,72.8311
38,530,49,Telangana,Kanyakumari,Valuables,100,30-04-2012,0,18.1124,79.0193,8.0883,77.5385
39,588,97,Bangalore,Chennai,Oversized Items,2500,30-01-2005,1,12.9716,77.5946,13.0827,80.2707
40,245,94,Gujarat,Tuticorin,Oversized Items,2500,03-10-2012,1,22.2587,71.1924,8.7642,78.1348
41,135,57,Pune,Palakad,Fragile Items,1500,23-06-2011,0,18.5204,73.8567,10.7867,76.6548
42,193,9,Ahmedabad,Kolkata,Personal Belongings,50,19-08-2020,1,23.0225,72.5714,22.5726,88.3639
43,910,34,Surat,Kanpur,Valuables,100,29-04-2005,1,21.1702,72.8311,26.4499,80.3319
44,771,4,Kanyakumari,Visakhapatnam,Perishable goods,50,03-05-2018,1,8.0883,77.5385,17.6868,83.2185
45,77,1,Coonoor,Bhopal,Perishable goods,50,29-12-2022,0,11.353,76.7952,23.2599,77.4126
